column,title,description,date,subject,subject - lcsh,subject - local,location,collecting area,manufacturer,latitude,longitude,archival source,original format,type,format,identifier,rights,provenance,publisher,credit line,digital collection,location id,file size,height,width,color space,checksum,pdflink,compound,cpdmaster,cdmid,objectid
26,,"The Albatross Hotel stood near the present-day location of Dukes Malibu on the west side of Las Flores Creek on the Pacific Coast Highway. During its heyday in the 1950s and 60s, the establishment enjoyed a notoriety for romantic trysts. This reputation was no doubt reinforced by the film ""Strangers When We Met"" (1960), which shot several scenes in the Albatross. In the film, the hotel is the scene of an affair between the characters played by Kirk Douglass and Kim Novak.",1952,Matchcovers; Eating & drinking facilities; Restaurants; Motels; Hotels;,Malibu (Calif.),"Las Flores Beach, Malibu;","Malibu (Calif.);Las Flores Beach, Malibu;",,Lion Match Co.,34.03661,-118.636712,,"Matchbook, 5 x 11 centimeters",Image,image/jp2,match00019.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,9348101 Bytes,2663,1169,RGB,2623075093,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/28/page/0/inline/,26;27;28,28,26,wienberg26
29,Copper Kitchen,"The Copper Kitchen stood at the western reach of Culver City at the border with Venice in Los Angeles. The building remains today housing a sports bar. The slogan takes advantage of the cross streets of its location: ""Where Washington and Lincoln meet to dine."" On the reverse, the map shows the restaurant in relation to Douglas Aircraft (later Santa Monica Airport) and Hughes Aircraft (the Hughes Airport, the private airport of Howard Hughes that was closed in 1985).",1948,Matchcovers; Eating & drinking facilities; Restaurants,Culver City (Calif.),,Culver City (Calif.);,,Monarch Match Co.,33.990609,-118.446923,,"Matchbook, 7.5 x 11.5 centimeters",Image,image/jp2,match00015.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,14069600 Bytes,2663,1760,RGB,4002560426,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/31/page/0/inline/,29;30;31,31,29,wienberg29
32,Canfield's Big Rock Cafe,"Canfield's Big Rock Cafe occupied the Moonshadows location on the Pacific Coast Highway, between Big Rock Drive and Las Flores Canyon, during the 1950s. It was owned by Harry Canfield, whose Malibu Trading Post Cafe--at the other end of Malibu--burned down in 1949.",1952,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Big Rock Beach, Malibu;","Malibu (Calif.);Big Rock Beach, Malibu;",,Monarch Match Co.,34.037526,-118.618624,,"Matchbook, 4 x 11.5 centimeters",Image,image/jp2,match00021.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,7199060 Bytes,2663,900,RGB,3719872,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/34/page/0/inline/,32;33;34,34,32,wienberg32
35,,"Canfield's Big Rock Cafe occupied the Moonshadows location on the Pacific Coast Highway, between Big Rock Drive and Las Flores Canyon, during the 1950s. It was owned by Harry Canfield, whose Malibu Trading Post Cafe--at the other end of Malibu--burned down in 1949.",1952,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Big Rock Beach, Malibu;","Malibu (Calif.);Big Rock Beach, Malibu;",,,34.037526,-118.618624,,"Matchbook, 5 x 11.5 centimeters",Image,image/jp2,match00023.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,9907331 Bytes,2663,1239,RGB,4187068406,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/37/page/0/inline/,35;36;37,37,35,wienberg35
38,Trancas Restaurant,"The Trancas Restaurant was built in 1949 after the Malibu Trading Post, on the same location, burned down. Today, there is a Starbucks Coffee shop at this location, which is in western Malibu at Trancas Canyon Road on the Pacific Coast Highway. This matchcover is likely from the 1960s.",1952,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Trancas Canyon, Malibu;","Malibu (Calif.);Trancas Canyon, Malibu;",,Lion Match Co.,34.031179,-118.843119,,"Matchbook, 4 x 11.5 centimeters",Image,image/jp2,match00026.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,6951401 Bytes,2663,869,RGB,1930138839,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/40/page/0/inline/,38;39;40,40,38,wienberg38
41,Brownie's,"Brownie's was a cocktail and piano bar located in the outdoor Santa Monica Mall, predecessor to the Third Street Promenade. The address was 1452 The Mall, Santa Monica.",1967,Matchcovers; Eating & drinking facilities; Bars; Nightclubs;,Santa Monica (Calif.);,,Santa Monica (Calif.);,,Monarch Match Co.,34.014511,-118.495011,,"Matchbook, 4 x 11.5 centimeters",Image,image/jp2,match00028.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,7145060 Bytes,2643,900,RGB,847664148,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/42/page/0/inline/,41;42,42,41,wienberg41
43,Alice's Restaurant,"Alice's Restaurant, named after the Arlo Guthrie song, operated at the foot of the Malibu Pier from 1972 to 1995.",1974,Matchcovers; Eating & drinking facilities; Restaurants; Piers & wharves;,Malibu (Calif.),"Malibu Pier, Malibu;","Malibu (Calif.);Malibu Pier, Malibu;",,Atlas Match Corp,34.037155,-118.676694,,"Matchbook, 5 x 11 centimeters",Image,image/jp2,match00029.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,9572801 Bytes,2573,1239,RGB,2469736027,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/45/page/0/inline/,43;44;45,45,43,wienberg43
46,Hotel Miramar International Room Restaurant,"Now the Fairmont Miramar, the Hotel Miramar is one of Santa Monica's oldest hotels. The International Room restaurant was popular in the 1960s and 70s.",1967,Matchcovers; Eating & drinking facilities; Restaurants; Hotels;,Santa Monica (Calif.);,,Santa Monica (Calif.);,,Diamond National Corp,34.018147,-118.501602,,"Matchbook, 4 x 11 centimeters",Image,image/jp2,match00031.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,6793961 Bytes,2573,879,RGB,4276611156,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/48/page/0/inline/,46;47;48,48,46,wienberg46
49,The Chalet / Fisherman's Cove,"The Chalet may be a brand of ice cream. The reverse side of this matchcover advertises the Fisherman's Cove, which was the primary eatery area of the Pacific Ocean Park (POP) amusement pier in the Ocean Park area of south Santa Monica, California. The POP operated between 1958 and 1967.",1960,Matchcovers; Eating & drinking facilities; Restaurants; Ice cream & ices; Piers & wharves; Amusement parks;,Santa Monica (Calif.);,,Santa Monica (Calif.);,,Lion Match Co.,33.995323,-118.484974,,"Matchbook, 4 x 11 centimeters",Image,image/jp2,match00033.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,6905300 Bytes,2673,860,RGB,1430055597,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/51/page/0/inline/,49;50;51,51,49,wienberg49
52,The Big Yellow House,"The Big Yellow House was a cherished home-style family restaurant in Summerland (Santa Barbara County, California). It opened in the early 1970s and closed its doors in 2010. BYH expanded as a franchise during the late 1970s and included at least six Southern California locations.",1982,Matchcovers; Eating & drinking facilities; Restaurants,Summerland (Calif.),,Summerland (Calif.);,,Atlas Match Corp,,,,"Matchbook, 4 x 11 centimeters",Image,image/jp2,match00036.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,6698900 Bytes,2593,860,RGB,1393018236,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/54/page/0/inline/,52;53;54,54,52,wienberg52
55,Malibu Beach Motor Hotel,"The Malibu Beach Motor Hotel was built in 1941 on the north side of the Pacific Coast Highway about one half mile east of the Malibu Pier. The building, located at 22653 Pacific Coast Highway, is today the offices for a development corporation.",1947,Matchcovers; Motels;,Malibu (Calif.),"Carbon Beach, Malibu;","Malibu (Calif.);Carbon Beach, Malibu;",,Monarch Match Co.,34.039485,-118.668478,,"Matchbook, 4 x 11 centimeters",Image,image/jp2,match00039.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,7325501 Bytes,2683,909,RGB,1508591112,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/57/page/0/inline/,55;56;57,57,55,wienberg55
58,Frank Kerwin's Seacomber,"Frank Kerwin's Seacomber restaurant stood at 22725 Pacific Coast Highway at the present-day location of McDonalds, east of Malibu Pier. It's heyday was the 1940s, and by the late 1950s St. Aidan's Mission had converted the restaurant's interior into an Episcopal chapel.",1947,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Carbon Beach, Malibu;","Malibu (Calif.);Carbon Beach, Malibu;",,Diamond Match Co.,34.039675,-118.670008,,"Matchbook, 6.5 x 11 centimeters",Image,image/jp2,match00042.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,11691581 Bytes,2633,1479,RGB,3172483901,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/60/page/0/inline/,58;59;60,60,58,wienberg58
