title,subject,description,creator,publisher,contributors,date,type,genre,format,digitization,identifier,source,relation,language,coverage,rights,rightsstatement,audience,image size,dpi,date (digitized),negative or print,location,note,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Woman from the Administration Office speaking at a military induction ceremony.,"Associations & organizations; Civic issues; Festivals & celebrations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a woman from the Administration Office speaking at a military draft induction ceremony, with a sign acknowledging the 407 men from the Heart Mountain Relocation Center who had currently inducted, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1943/1945,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0087n05b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/250,250,251.jp2,/hiraharag/image/251.jp2,hiraharag250
Kitahara boy wearing a Cubs Boy Scout of America uniform.,"Boy Scouts & Girl Scouts of America; Family; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a Kitahara boy posing in a Cubs Boy Scout of American uniform, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1943/1945,Image,Portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0091n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,3&quot;x2&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/253,253,254.jp2,/hiraharag/image/254.jp2,hiraharag253
"Hirahara family car parked outside in the snow, December 27, 1944.","Living conditions; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of the Hirahara family car parked outside of the barracks in the snow, Heart Mountain Relocation Center, Wyoming.","Hirahara, George or Frank Hirahara","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-12-27,Image,Portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0093n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000/2006 deaths of the creators.,,2&quot;x3&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/255,255,256.jp2,/hiraharag/image/256.jp2,hiraharag255
"Students Sue Tainaka and George Iseri promoting the GAA Leap Year Dance at Heart Mountain High School, 1944.","Education; Facilities & services; Public school; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of student Sue Tainaka grabbing the back of George Iseri&#x27;s shirt in a hallway of Heart Mountain High School to catch a date for the GAA Leap Year Dance, Heart Mountain Relocation Center, Wyoming.","Hirahara, Frank","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0094n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2006 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/257,257,258.jp2,/hiraharag/image/258.jp2,hiraharag257
"Drama students talking by the school stage at Heart Mountain High School, 1944.","Education; Facilities & services; Public school; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of drama students, including Shig Otnai, Etsuo Hiraishi, Amy Yamane, and Kiyo Shimane, reading from the same book by the school stage at Heart Mountain High School, Heart Mountain Relocation Center, Wyoming.","Hirahara, Frank","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0094n02.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2006 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/258,258,259.jp2,/hiraharag/image/259.jp2,hiraharag258
"Future site for the new Heart Mountain High School in Block 16, 1943.","Living conditions; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of an empty lot in block 16 before where Heart Mountain High School was built, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1943,Image,Landscape portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0094n05b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x1.5&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/264,264,265.jp2,/hiraharag/image/265.jp2,hiraharag264
"Heart Mountain High School boys basketball game against Rawlins High School, December 28, 1944.","Education; Facilities & services; Public school; Sports; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a boys basketball game between Heart Mountain High School and Rawlins High School, featuring Heart Mountain player Keiichi Ikeda, Heart Mountain Relocation Center, Wyoming.","Hirahara, Frank","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-12-28,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0096n02a.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2006 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/268,268,269.jp2,/hiraharag/image/269.jp2,hiraharag268
"Heart Mountain High School boys basketball game against Rawlins High School, December 28, 1944.","Education; Facilities & services; Public school; Sports; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a boys basketball game between Heart Mountain High School and Rawlins High School, Heart Mountain Relocation Center, Wyoming.  A Heart Mountain player releases a lay up over a Rawlins defender.","Hirahara, Frank","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-12-28,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0096n02b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2006 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/269,269,270.jp2,/hiraharag/image/270.jp2,hiraharag269
"Tip off of a boys basketball game between Heart Mountain High School and Rawlins High School, December 28, 1944.","Education; Facilities & services; Public school; Sports; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of the tip off of a boys basketball game between Heart Mountain High School and Rawlins High School, featuring Heart Mountain team captain Mas Hamamoto, Heart Mountain Relocation Center, Wyoming.","Hirahara, Frank","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-12-28,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0096n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2006 death of the creator.,,2&quot;x3&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/270,270,271.jp2,/hiraharag/image/271.jp2,hiraharag270
Americanization night school class including Koto Hirahara and teacher Aurelia Valley at the Heart Mountain High School.,"Associations & organizations; Community & social service organizations; Education; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of an Americanization night school class including Koto Hirahara and teacher Aurelia Valley at the Heart Mountain High School, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1943/1945,Image,Group portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0104n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-19,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/291,291,292.jp2,/hiraharag/image/292.jp2,hiraharag291
