title,date,date is approximate?,description,location,latitude,longitude,subject,sub-lcsh,source,identifier,donor,rights,standardized rights,language,publisher,digital collection,date digital,type,format original,format,ordering information,group / city number,image number (within group),filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Challis jail. Challis, Idaho.",1892,y,"Johnnie Boyd in doorway, earl Dodge with pick, Joe Paul at corner, Arthur Fox, Donnie Rowels with pipe and Ralph Beardsley",Challis,44.505342,-114.230277,jails (buildings),,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-2c,Challis Public Library,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,2c,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/10,10,107.jp2,/cities/image/107.jp2,demo_cities10
"Interior of a butcher? shop. Challis, Idaho.",1920,y,,Challis,44.505333,-114.230233,interiors; stores,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-2d,Challis Public Library,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,2d,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/11,11,108.jp2,/cities/image/108.jp2,demo_cities11
Interior of an office or store displaying many pictures on the wall.,1920,y,,Challis,44.505344,-114.230244,interiors; stores,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-2e,Challis Public Library,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,2e,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/12,12,109.jp2,/cities/image/109.jp2,demo_cities12
"Harrison Public School. Harrison, Idaho.",1905,y,,Harrison,47.457701,-116.781101,schools,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-115-3a,,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.5x5 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",115,3a,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/13,13,11.jp2,/cities/image/11.jp2,demo_cities13
"Challis cornet band. Challis, Idaho.",1892,y,"L-R: Maude Ebberts Clarington, Joseph Ebberts, Danny Stephens, Bill Ebberts, Sr., Jonathon Job, Frank Reed, Tom Horton, and Maurice Ashton",Challis,44.505355,-114.230255,bands (ensembles),,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-3a,Challis Public Library,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,3a,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/14,14,110.jp2,/cities/image/110.jp2,demo_cities14
"Buggy full of men and women pulled by four horses. Challis, Idaho.",1892,y,,Challis,44.505366,-114.230266,horses; wagons,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-4a,Challis Public Library,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,4a,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/15,15,111.jp2,/cities/image/111.jp2,demo_cities15
"Two men working on the street, others watching. Challis, Idaho.",1892,y,,Challis,44.505377,-114.230277,main streets,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-4b,Challis Public Library,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,4b,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/16,16,112.jp2,/cities/image/112.jp2,demo_cities16
"Wagon load of people and several on horses. Challis, Idaho area.",1897,y,"In wagon: Franklin Cameron, charley Ebberts, Joe Paul, Dora Nover?, Miss Anderson, Ruth Leaton, ?, Arthur Gayle, Bill Cameron, Grace Leaton, Maude Ebberts, Effie McKendrick, Flora Donahue, Nell Bennetts, Hal Dodge, Ben Ebberts on horseback, etc.",Challis,44.505388,-114.230288,wagons,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-5a,Challis Public Library,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,5a,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/17,17,113.jp2,/cities/image/113.jp2,demo_cities17
"Sheepherders' Camp? Challis, Idaho.",1934,y,,Challis,44.505399,-114.230299,tents; camps; horses,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-5b,Challis Public Library,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,5b,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/18,18,114.jp2,/cities/image/114.jp2,demo_cities18
"Truck with sign 'For Sale. Salmon-River Views. Sawtooth Mountains. Challis, Idaho'.",1921,y,,Challis,44.505311,-114.230211,trucks,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-5c,Challis Public Library,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,5c,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/19,19,115.jp2,/cities/image/115.jp2,demo_cities19
"Panoramic view of Clayton, Idaho.",1964,y,,Clayton,44.258328,-114.401402,panoramas,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-105-1,Challis Public Library,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,8x10 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",105,1,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/20,20,116.jp2,/cities/image/116.jp2,demo_cities20
"Clayton, Idaho showing bridge across river and homes.",1964,y,,Clayton,44.258328,-114.401402,bridges; mountains; houses,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-105-2,Challis Public Library,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.5x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",105,2,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/21,21,117.jp2,/cities/image/117.jp2,demo_cities21
"Clayton, Idaho showing bridge across river and homes.",1964,y,,Clayton,44.258328,-114.401402,bridges; mountains; houses,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-105-3,Challis Public Library,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,2.75x4.5 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",105,3,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/22,22,118.jp2,/cities/image/118.jp2,demo_cities22
"Bayhorse, Idaho.",1946,y,,Bayhorse,44.397991,-114.31305,aerial views; towns; mountains,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-106-1,Challis Public Library,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",106,1,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/23,23,119.jp2,/cities/image/119.jp2,demo_cities23
"Lamb Bros. General Machinist and Blacksmithing. Harrison, Idaho.",1914,,"Man with pipe-Thomas Lamb, machinist who built the aerosleigh, to his left-Daniel E. Riley, the inventor of the aerosleigh",Harrison,47.455173,-116.784813,business enterprises,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-115-4a,,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.5x5 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",115,4a,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/24,24,12.jp2,/cities/image/12.jp2,demo_cities24
"Nevada Hotel in foreground. Bayhorse, Idaho.",1884,y,,Bayhorse,44.397991,-114.31305,hotels (public accommodations),,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-106-3,Challis Public Library,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",106,3,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/25,25,120.jp2,/cities/image/120.jp2,demo_cities25
"Bayhorse, Idaho showing dirt road with several buildings and old cars.",1946,y,,Bayhorse,44.397991,-114.31305,access roads; trucks; houses,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-106-2,Challis Public Library,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",106,2,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/26,26,121.jp2,/cities/image/121.jp2,demo_cities26
"Murray, Idaho. White building in center, Louisville Hotel.",1886,,,Murray,47.627012,-115.85848,aerial views; towns; mountains,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-107-1,Ruth V. Sellars,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,8x5 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",107,1,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/27,27,122.jp2,/cities/image/122.jp2,demo_cities27
