title,creator,date,date.digital,publisher,description,subject,type,genre,location,rights,rightsstatement,identifier,holding institution,digitization,format,contributors,language,source,relation,dates,control,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Mean temperature in degrees Fahrenheit, summer, June - August [Washington and Oregon], 1888","United States. Army. Signal Corps. Morey, W., del.",1888,2000-2002,Washington : Government Printing Office.,"1 map : col. ; 24 x 21 cm. Relief shown by hachures. &quot;Chart no. 6.&quot; &quot;Photo. lith. by A. Hoen &amp; Co., Baltimore, MD.&quot; Scale ca. 1:3,750,000.",Atmospheric temperature--Washington (State)--Maps; Atmospheric temperature--Oregon--Maps,Image,Maps,United States--Washington (Terr.); United States--Oregon,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm147; Y 1.1/2: serial 2511 map 5,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, Senate Executive Document no. 91. Letter from the Secretary of War, transmitting letter of the Chief Signal Officer on the rain-fall of the Pacific slope and the western states and territories. [after p. 37], 1888. Y 1.1/2: serial 2511 map 5 at University of Washington Libraries Government Publications Section",,1888,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/22,22,uw147.jp2,/maps/image/uw147.jp2,maps22
"Mean seasonal rainfall in inches, dry season, May - September [Washington and Oregon], (1888)","United States. Army. Signal Corps. Morey, W., del.",1888,2000-2002,Washington : Government Printing Office.,"1 map : col. ; 24 x 21 cm. Relief shown by hachures. &quot;Chart no. 3.&quot; &quot;Photo. lith. by A. Hoen &amp; Co., Baltimore, MD.&quot; Scale ca. 1:3,750,000.",Rain and rainfall--Washington (State)--Maps; Rain and rainfall--Oregon--Maps,Image,Maps,United States--Washington (Terr.); United States--Oregon,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm176; Y 1.1/2:serial 2511 map 3,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, Senate Executive Document no. 91. Letter from the Secretary of War, transmitting letter of the Chief Signal Officer on the rain-fall of the Pacific slope and the western states and territories. [after p. 37], 1888. Y 1.1/2:serial 2511 map 3 at University of Washington Libraries Government Publications Section",,1888,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/23,23,uw176.jp2,/maps/image/uw176.jp2,maps23
"Deep water entrances to Puget Sound, Deception Pass, Admiralty Inlet, (1884)","United States. Army. Corps of Engineers. Powell, Charles F., 1843-1907.",1888,2000-2002,Washington : Government Printing Office.,"2 maps on 1 sheet ; each 9 x 7 cm. Maps show boundaries of military reservations on Whidbey Island and Marrowstone Island. &quot;U.S. Engr. Office, Portland, Or. June, 1884.&quot; Scale ca. 1:250,000.",Military reservations--Washington (State)--Deception Pass--Maps; Military reservations--Washington (State)--Admiralty Inlet--Maps,Image,Maps; Nautical charts,United States--Washington (Terr.)--Skagit county--Deception Pass; United States--Washington (Terr.)--Jefferson county--Admiralty Inlet; United States--Washington (Terr.)--Island county--Admiralty Inlet; United States--Washington (Terr.)--Puget Sound,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm173; Y 1.1/2:serial 2513 map 1,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, Senate Executive Document no. 165. Letter from the Secretary of War, transmitting, in response to Senate resolution of March 27, 1888, reports relative to fortifications upon Puget Sound [after p. 22], 1888. Y 1.1/2:serial 2513 map 1 at University of Washington Libraries Government Publications Section",,1884; 1888,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/24,24,uw173.jp2,/maps/image/uw173.jp2,maps24
"Skokomish Reserve, Skokomish Agency; Squaxin Island Reserve, Nisqually Agency, (1879)",United States. Bureau of Indian Affairs. United States. Office of Indian Affairs. Skokomish Agency. United States. Office of Indian Affairs. Puyallup Agency.,1879,2000-2002,Washington : Government Printing Office.,"1 map ; 18 x 12 cm. Skokomish Reserve, 4987 acres, 775 Indians. From report text: Squaxin Reservation, containing 1,494.15 acres and a population of 100 Indians, said reservation being an island in Puget Sound 10 miles north of Olympia. Scale 1:260,000.",Skokomish Indian Reservation (Wash.)--Maps; Squaxin Island Indian Reservation (Wash.)--Maps,Image,Maps,United States--Washington (Terr.)--Mason county--Skokomish Indian Reservation; United States--Washington (Terr.)--Mason county--Squaxin Island Indian Reservation,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm167; Y 1.1/2:serial 1910 map 4,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, House Executive Document 1, part 5. Report of the Secretary of the Interior; being part of the message and documents communicated to the two houses of Congress at the beginning of the second session of the forty-sixth Congress. In three volumes. Volume 1. [after p. 260], 1879. Y 1.1/2:serial 1910 map 4 at University of Washington Libraries Government Publications Section",,1879,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/25,25,uw167.jp2,/maps/image/uw167.jp2,maps25
"Tulalip Agency : Lummi Reserve; Swinomish Reserve, (1879)",United States. Bureau of Indian Affairs. United States. Office of Indian Affairs. Tulalip Agency.,1879,2000-2002,Washington : Government Printing Office.,"1 map ; 18 x 12 cm. Lummi Reserve, 12312 acres, 540 Indians ; Swinomish Reserve, 7195 acres, 630 Indians. Scale ca. 1:350,000.",Lummi Reservation (Wash.)--Maps; Swinomish Indian Reservation (Wash.)--Maps,Image,Maps,United States--Washington (Terr.)--Whatcom county--Lummi Reservation; United States--Washington (Terr.)--Skagit county--Swinomish Indian Reservation,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm168; Y 1.1/2:serial 1910 map 5,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, House Executive Document 1, part 5. Report of the Secretary of the Interior; being part of the message and documents communicated to the two houses of Congress at the beginning of the second session of the forty-sixth Congress. In three volumes. Volume 1. [after p. 262], 1879. Y 1.1/2:serial 1910 map 5 at University of Washington Libraries Government Publications Section",,1879,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/26,26,uw168.jp2,/maps/image/uw168.jp2,maps26
"Tulalip Agency : Tulalip Reserve; Port Madison Reserve, (1879)",United States. Bureau of Indian Affairs. United States. Office of Indian Affairs. Tulalip Agency.,1879,2000-2002,Washington : Government Printing Office.,"1 map ; 18 x 12 cm. Tulalip Reserve, 22490 acres, 800 Indians ; Port Madison Reserve, 7284 acres, 500 Indians. Scale ca. 1:350,000.",Tulalip Indian Reservation (Wash.)--Maps; Port Madison Indian Reservation (Wash.)--Maps,Image,Maps,United States--Washington (Terr.)--Snohomish county--Tulalip Indian Reservation; United States--Washington (Terr.)--Kitsap county--Port Madison Indian Reservation,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm169; Y 1.1/2:serial 1910 map 6,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, House Executive Document 1, part 5. Report of the Secretary of the Interior; being part of the message and documents communicated to the two houses of Congress at the beginning of the second session of the forty-sixth Congress. In three volumes. Volume 1. [after p. 262], 1879. Y 1.1/2:serial 1910 map 6 at University of Washington Libraries Government Publications Section",,1879,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/27,27,uw169.jp2,/maps/image/uw169.jp2,maps27
"Nisqually Agency : Nisqually Reserve; Chehalis Reserve, (1879)",United States. Bureau of Indian Affairs. United States. Office of Indian Affairs. Puyallup Agency.,1879,2000-2002,Washington : Government Printing Office.,"1 map ; 12 x 18 cm. Shows locations of Nisqually Reserve and Chehalis Reserve.&quot; From report text: Nesqually [sic] Reservation, containing 4,717.25 acres and a population of 165 Indians, situated on the Nesqually [sic] River, 14 miles east of Olympia, and including 3-1/2 miles of that river, beginning 4 miles from its mouth ... Chehalis Reservation, containing 4,224.83 acres and a population of 205 Indians, and situated on the north side of the Chehalis River, about 40 miles from its mouth, and including the mouth of Black River, about 25 miles southwest of Olympia.&quot; Scale ca. 1:350,000.",Nisqually Indian Reservation (Wash.)--Maps; Chehalis Reservation (Wash.)--Maps,Image,Maps,United States--Washington (Terr.)--Thurston county--Nisqually Indian Reservation; United States--Washington (Terr.)--Grays Harbor county--Chehalis Reservation; United States--Washington (Terr.)--Thurston county--Chehalis Reservation,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm170; Y 1.1/2:serial 1910 map 1,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, House Executive Document 1, part 5. Report of the Secretary of the Interior; being part of the message and documents communicated to the two houses of Congress at the beginning of the second session of the forty-sixth Congress. In three volumes. Volume 1. [after p. 254], 1879. Y 1.1/2:serial 1910 map 1 at University of Washington Libraries Government Publications Section",,1879,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/28,28,uw170.jp2,/maps/image/uw170.jp2,maps28
"Puyallup Reserve (Nisqually Agency); Muckleshoot Reserve (Tulalip Agency), (1879)",United States. Bureau of Indian Affairs. United States. Office of Indian Affairs. Puyallup Agency. United States. Office of Indian Affairs. Tulalip Agency.,1879,2000-2002,Washington : Government Printing Office.,"1 map ; 12 x 18 cm. From report text: Puyallup Reservation, containing 18,061.53 acres, and a population of 560 Indians, situated on Commencement Bay, 40 miles north of Olympia, and including 6 miles of the Puyallup River from near its mouth. Scale ca. 1:260,000.",Puyallup Indian Reservation (Wash.)--Maps; Muckleshoot Reservation (Wash.)--Maps,Image,Maps,United States--Washington (Terr.)--Pierce county--Puyallup Indian Reservation; United States--Washington (Terr.)--King county--Muckleshoot Reservation,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm171; Y 1.1/2:serial 1910 map 3,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, House Executive Document 1, part 5. Report of the Secretary of the Interior; being part of the message and documents communicated to the two houses of Congress at the beginning of the second session of the forty-sixth Congress. In three volumes. Volume 1. [after p. 254], 1879. Y 1.1/2:serial 1910 map 3 at University of Washington Libraries Government Publications Section",,1879,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/29,29,uw171.jp2,/maps/image/uw171.jp2,maps29
"Shoalwater Reserve, Nisqually Agency, (1879)",United States. Bureau of Indian Affairs. United States. Office of Indian Affairs. Puyallup Agency.,1879,2000-2002,Washington : Government Printing Office.,"1 map ; 12 x 18 cm. From report text: Shoal Water Bay Reservation, containing about 340 acres and a population of 103 Indians, situated on the north shore of Shoal Water Bay of the Pacific Ocean, 90 miles southwest of Olympia, by the nearest traveled route. Scale ca. 1:45,000.",Shoalwater Bay Indian Reservation (Wash.)--Maps,Image,Maps,United States--Washington (Terr.)--Pacific county--Shoalwater Bay Indian Reservation,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm172; Y 1.1/2:serial 1910 map 2,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, House Executive Document 1, part 5. Report of the Secretary of the Interior; being part of the message and documents communicated to the two houses of Congress at the beginning of the second session of the forty-sixth Congress. In three volumes. Volume 1. [after p. 254], 1879. Y 1.1/2:serial 1910 map 2 at University of Washington Libraries Government Publications Section",,1879,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/30,30,uw172.jp2,/maps/image/uw172.jp2,maps30
"Washington Ty. = [Washington Territory], (1887)","Cram, George Franklin, 1841-1928.; People&#x27;s Publishing Company.",1887,2000-2002,Chicago : People&#x27;s Publishing Co.,"1 map : col. ; 25 x 31 cm. Relief shown by hachures. Scale ca. 1:2,250,000.",Washington (State)--Maps,Image,Maps,United States--Washington (Terr.),http://rightsstatements.org/vocab/NKC/1.0/,Item is in public domain as it was published prior to 1923.  Please give credit to the University of Washington Libraries.,uwm100; G1019.P45 1887 map 1,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in The Peoples illustrated & descriptive family atlas of the world [p.89], 1887. G1019.P45 1887 map 1 at University of Washington Libraries Map Collection",,1887,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/31,31,uw100.jp2,/maps/image/uw100.jp2,maps31
"Oregon and Washington, (1891)",O.W. Gray &amp; Son.,1891,2000-2002,Philadelphia : O.W. Gray &amp; Son.,"1 map : col. ; 38 x 30 cm. Relief shown by hachures and spot heights. Shows railroads. Scale 1:2,534,400.",Washington (State)--Maps; Railroads--Washington (State)--Maps; Oregon--Maps,Image,Maps,United States--Washington (State); United States--Oregon,http://rightsstatements.org/vocab/NKC/1.0/,Item is in public domain as it was published prior to 1923.  Please give credit to the University of Washington Libraries.,uwm101; G1200.O22 1891 map 1,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in The national atlas [p. 167], 1891. G1200.O22 1891 map 1 at University of Washington Libraries Map Collection",,1891,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/32,32,uw101.jp2,/maps/image/uw101.jp2,maps32
"Railroad and county map of Washington, (1889)",George F. Cram Company.,1889,2000-2002,Chicago : George F. Cram.,"1 map : col. ; 40 x 55 cm. Relief shown by hachures. Shows counties, cities and railroads. Scale ca. 1:1,300,000. George F. Cram, a Union soldier who fought in Sherman&#x27;s Army during the Civil War, returned home in 1867 to Evanston, Illinois to begin a map and atlas company with his uncle, Rufus Blanchard. By 1875, Cram owned his own publishing company in Chicago and soon rose to success by using a wax engraving process (such as perfected by the Rand McNally Company, his greatest competitor). Invented in 1834 by Richard Cary Morse and Henry A. Munson, the wax engraving process--also known as &quot;cerography&quot;--was not patented until 1848. This allowed for many engravers to perfect their own version of the method. Among them was the Rand McNally Co., which began printing maps in 1872, using a combination of Morse&#x27;s wax process and electrotyping. Invented in Russia, 1839 by a German named Jacobi, electrotyping took wax engraving one step further by coating the surface with a substance such as graphite (electrically conductive) and then submerging it all into an electrolytic bath and copper coating. When ready, the wax was then removed and the copper plate became the template for printing. While of less quality than lithography, it also cost less. By the 1890s most American publishing houses used this wax process. Cram retired in 1921, selling out to the National Map Company. In 1928, the company returned to the Cram name and it has continued in business to this day.",Washington (State)--Maps; Railroads--Washington (State)--Maps,Image,Maps,United States--Washington (State),http://rightsstatements.org/vocab/NKC/1.0/,Item is in public domain as it was published prior to 1923.  Please give credit to the University of Washington Libraries.,uwm55; G1019.C7 1889 map 1,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in Cram&#x27;s standard American atlas of the world [p.226-227], 1889. G1019.C7 1889 map 1 at University of Washington Libraries Map Collection",,1889,,,2005-02-02,2019-05-07,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/33,33,uw55.jp2,/maps/image/uw55.jp2,maps33
