Title,Description,date,subject,Subject - LCSH,location,Collecting Area,Status,Manufacturer,Latitude,Longitude,Digital Collection,Archival Source,Publisher,Original Format,Provenance,rights,Credit Line,identifier,Type,Location ID,format,File Size,Height,Width,Color Space,Checksum,Hardware,Software,User Name,Notes,Internal Use,Folder Search,OCLC number,Date created,Date modified,Reference URL,cdmid,objectid,CONTENTdm file name,Archival file,CONTENTdm file path
"Carl's ""Sea Air"" Lodge and Restaurant","Carl's Sea Air was one of the name variations of Carl's by the Sea, a restaurant and hotel that operated on the mountain-side of the Pacific Coast Highway across from the Will Rogers lighthouse just north of Santa Monica Canyon. The address was 15145 Pacific Coast Highway. On reverse: [printed] Dining room and cocktail bar adjacent to the motel. Delicious Food, Delightfully Served, in Pleasant Surroundings.",1950,Postcards; Restaurants; Diners (Restaurants); Hotels;,"Santa Monica (Calif.); Pacific Palisades (Los Angeles, Calif.);",,,complete;,Mike Roberts Color Production,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00547.tif,Image,,image/jp2,5136044 Bytes,1637,1044,RGB,299555903,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2015-03-19,2015-03-19,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/803,803,wienberg803,804.jp2,Volume4/match00547.tif,/p15730coll18/image/804.jp2
"Carl's ""Sea Air"" Lodge and Restaurant","Carl's Sea Air was one of the name variations of Carl's by the Sea, a restaurant and hotel that operated on the mountain-side of the Pacific Coast Highway across from the Will Rogers lighthouse just north of Santa Monica Canyon. The address was 15145 Pacific Coast Highway. On reverse: [printed] Dining room and cocktail bar adjacent to the motel. Delicious Food, Delightfully Served, in Pleasant Surroundings.",1950,Postcards; Restaurants; Diners (Restaurants); Hotels;,"Santa Monica (Calif.); Pacific Palisades (Los Angeles, Calif.);",,,complete;,Mike Roberts Color Production,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00548.tif,Image,,image/jp2,5090540 Bytes,1036,1635,RGB,40482874,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2015-03-19,2015-03-19,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/804,804,wienberg804,805.jp2,Volume4/match00548.tif,/p15730coll18/image/805.jp2
"Calamigos Star C. Ranch, Malibu California. A western Adventure in the Malibu Mountains","This postcard advertises the Calamigos Circle C Ranch, which started in the 1940s in the Santa Monica Mountains north of Point Dume. On reverse: [printed] Riding, swimming, boating. acres of clean, fresh air. Summer camp for boys and girls, 7 to 15, June through August. Executive conference center for workshops, seminars and sales meetings, September through May. Mr. and Mrs. J Grant Gerson - Directors Telephones: Triangle 3-4754, Diamond 7-2469. [in pen] Having a nice time here in sunny California. Luv Bonny and Mia. Postmark: July 18, 1969",1967,Postcards; Ranches; Camps; Horseback riding; correspondence,Malibu (Calif.);,"Trancas Canyon, Malibu;",,complete;,"Mike Roberts Studios (Berkeley, CA)",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00435.tif,Image,,image/jp2,5047595 Bytes,1021,1645,RGB,73687854,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-05-16,2018-05-16,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/806,806,wienberg806,807.jp2,Volume2/match00435.tif,/p15730coll18/image/807.jp2
"Calamigos Star C. Ranch, Malibu California. A western Adventure in the Malibu Mountains","This postcard advertises the Calamigos Circle C Ranch, which started in the 1940s in the Santa Monica Mountains north of Point Dume. On reverse: [printed] Riding, swimming, boating. acres of clean, fresh air. Summer camp for boys and girls, 7 to 15, June through August. Executive conference center for workshops, seminars and sales meetings, September through May. Mr. and Mrs. J Grant Gerson - Directors Telephones: Triangle 3-4754, Diamond 7-2469. [in pen] Having a nice time here in sunny California. Luv Bonny and Mia. Postmark: July 18, 1969",1967,Postcards; Ranches; Camps; Horseback riding; correspondence,Malibu (Calif.);,"Trancas Canyon, Malibu;",,complete;,"Mike Roberts Studios (Berkeley, CA)",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00436.tif,Image,,image/jp2,5096945 Bytes,1031,1645,RGB,312478633,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-05-16,2018-05-16,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/807,807,wienberg807,808.jp2,Volume2/match00436.tif,/p15730coll18/image/808.jp2
In the Riding Ring; Lazy J Ranch -  Malibu California,"The Lazy J Ranch was a popular horseback riding camp for children located in the western Malibu hills near Ventura. On reverse: [in pencil] Dear Mom, I world [sic...and adorable] you send me some candy because everybody has some. I like it here. Love, William. Postmark: July 29, 1970.",1967,Postcards; Ranches; Camps; Horseback riding;,Malibu (Calif.);,,,complete;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00437.tif,Image,,image/jp2,4122510 Bytes,970,1657,RGB,2633749974,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2015-03-19,2015-03-19,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/809,809,wienberg809,810.jp2,Volume2/match00437.tif,/p15730coll18/image/810.jp2
In the Riding Ring; Lazy J Ranch -  Malibu California,"The Lazy J Ranch was a popular horseback riding camp for children located in the western Malibu hills near Ventura. On reverse: [in pencil] Dear Mom, I world [sic...and adorable] you send me some candy because everybody has some. I like it here. Love, William. Postmark: July 29, 1970.",1970,Postcards; Ranches; Camps; Horseback riding;,Malibu (Calif.);,,,complete;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00438.tif,Image,,image/jp2,2802166 Bytes,970,1657,RGB,1156715784,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2015-03-19,2015-03-19,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/810,810,wienberg810,811.jp2,Volume2/match00438.tif,/p15730coll18/image/811.jp2
"Where the Mountains Meet the Sea - Castle Rock, Santa Monica, Calif","The rock formation known as Castle Rock appears here (center of image) in a view looking west toward Malibu. The coast highway (soon to be the Roosevelt Highway and later the Pacific Coast Highway) winds through along the beach. Castle Rock was demolished to expand the highway just after World War II. Although undated, the postcard is probably from the early 1920s, based on the lack of residential development in the area.",1920,Postcards; Coastlines; Rock formations;,"Pacific Palisades (Los Angeles, Calif.);",,,complete;,"M. Kashower Co. (Los Angeles, California);",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00507.tif,Image,,image/jp2,5312192 Bytes,1056,1674,RGB,340329975,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2015-03-24,2015-03-24,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/812,812,wienberg812,813.jp2,Volume4/match00507.tif,/p15730coll18/image/813.jp2
"Where the Mountains Meet the Sea - Castle Rock, Santa Monica, Calif","The rock formation known as Castle Rock appears here (center of image) in a view looking west toward Malibu. The coast highway (soon to be the Roosevelt Highway and later the Pacific Coast Highway) winds through along the beach. Castle Rock was demolished to expand the highway just after World War II. Although undated, the postcard is probably from the early 1920s, based on the lack of residential development in the area.",,Postcards; Coastlines; Rock formations;,"Pacific Palisades (Los Angeles, Calif.);",,,complete;,"M. Kashower Co. (Los Angeles, California);",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00508.tif,Image,,image/jp2,5264672 Bytes,1056,1659,RGB,1755311866,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2015-03-24,2015-03-24,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/813,813,wienberg813,814.jp2,Volume4/match00508.tif,/p15730coll18/image/814.jp2
"Hotel Miramar, Santa Monica, California","This post card depicts the Miramar Hotel in Santa Monica (now the Fairmont Miramar). On reverse: [printed] Hotel and Bungalows with beautiful gardens and swimming pool, faces Palisades Park and the blue Pacific. [in pen] Note the palms in the middle- Don't they look like giant pineapples? You can see the three different types here. See what I mean about the walls and streets being wide and clean.",1952,Postcards; Hotels;,Santa Monica (Calif.);,,,complete;,"Western Publishing & Novelty Co. (Los Angeles, California);",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00630.tif,Image,,image/jp2,4964882 Bytes,1011,1634,RGB,391565960,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2015-03-24,2015-03-24,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/815,815,wienberg815,816.jp2,Volume4/match00630.tif,/p15730coll18/image/816.jp2
"Hotel Miramar, Santa Monica, California","This post card depicts the Miramar Hotel in Santa Monica (now the Fairmont Miramar). On reverse: [printed] Hotel and Bungalows with beautiful gardens and swimming pool, faces Palisades Park and the blue Pacific. [in pen] Note the palms in the middle- Don't they look like giant pineapples? You can see the three different types here. See what I mean about the walls and streets being wide and clean.",,Postcards; Hotels;,Santa Monica (Calif.);,,,complete;,"Western Publishing & Novelty Co. (Los Angeles, California);",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00631.tif,Image,,image/jp2,5016965 Bytes,1021,1635,RGB,2569217582,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2015-03-24,2015-03-24,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/816,816,wienberg816,817.jp2,Volume4/match00631.tif,/p15730coll18/image/817.jp2
"Inceville Light House Moving Picture Village by the Sea, Southern California","Inceville was a pioneering movie studio built by film producer Thomas Ince on a ranch located at present-day Sunset Boulevard and Pacific Coast Highway in Pacific Palisades, California. The lighthouse and village seen left were part of the expansive network of sets. Ince ran the studio for several years, starting in 1912, before selling Inceville and moving on. The village eventually burned to the ground in 1922; only the church, made of stone, survived. It would later disappear as well. On reverse: [in pen] Here we are at last.. How do you like your new neighbors? Do they kept the lawn pretty. Buy a Jackson and come out. Hazel Wray. Postmark: June 20, 1922.",1916,Postcards; Lighthouses; Motion picture studios; Airplanes; Coastlines; correspondence,"Pacific Palisades (Los Angeles, Calif.);",,,complete;,"M. Kashower Co. (Los Angeles, California);",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00517.tif,Image,,image/jp2,4919387 Bytes,1011,1619,RGB,3896233277,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-06-15,2018-06-15,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/818,818,wienberg818,819.jp2,Volume4/match00517.tif,/p15730coll18/image/819.jp2
"Inceville Light House Moving Picture Village by the Sea, Southern California","Inceville was a pioneering movie studio built by film producer Thomas Ince on a ranch located at present-day Sunset Boulevard and Pacific Coast Highway in Pacific Palisades, California. The lighthouse and village seen left were part of the expansive network of sets. Ince ran the studio for several years, starting in 1912, before selling Inceville and moving on. The village eventually burned to the ground in 1922; only the church, made of stone, survived. It would later disappear as well. On reverse: [in pen] Here we are at last.. How do you like your new neighbors? Do they kept the lawn pretty. Buy a Jackson and come out. Hazel Wray. Postmark: June 20, 1922.",1916,Postcards; Lighthouses; Motion picture studios; Airplanes; Coastlines; correspondence,"Pacific Palisades (Los Angeles, Calif.);",,,complete;,"M. Kashower Co. (Los Angeles, California);",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00518.tif,Image,,image/jp2,4919387 Bytes,1011,1619,RGB,1952120688,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-06-15,2018-06-15,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/819,819,wienberg819,820.jp2,Volume4/match00518.tif,/p15730coll18/image/820.jp2
Bel Air Bay Club - Santa Monica Calif.,"Dating to 1927, the Bel Air Bay Club is located in Pacific Palisades, just east of Malibu, with facilities on either side of the Pacific Coast Highway near Sunset Boulevard. The country club and restaurant were popular with celebrities during the 1920s-40s, and is today (2015) a popular location for weddings and special events. The image for this photo postcard probably dates to the late 1940s. Written on reverse: ""Having a nice time but what a ride out there stopping at Paul's house."" Postmark: June 12, 1952.",1949,Postcards; Eating & drinking facilities; Restaurants; Country clubs; correspondence,"Pacific Palisades (Los Angeles, Calif.);",,,complete;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00519.tif,Image,,image/jp2,5058905 Bytes,1011,1665,RGB,216783915,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-05-10,2018-05-10,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/821,821,wienberg821,822.jp2,Volume4/match00519.tif,/p15730coll18/image/822.jp2
Bel Air Bay Club - Santa Monica Calif.,"Dating to 1927, the Bel Air Bay Club is located in Pacific Palisades, just east of Malibu, with facilities on either side of the Pacific Coast Highway near Sunset Boulevard. The country club and restaurant were popular with celebrities during the 1920s-40s, and is today (2015) a popular location for weddings and special events. The image for this photo postcard probably dates to the late 1940s. Written on reverse: ""Having a nice time but what a ride out there stopping at Paul's house."" Postmark: June 12, 1952.",1949,Postcards; Eating & drinking facilities; Restaurants; Country clubs; correspondence,"Pacific Palisades (Los Angeles, Calif.);",,,complete;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00520.tif,Image,,image/jp2,5013410 Bytes,1011,1650,RGB,2792591999,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-05-10,2018-05-10,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/822,822,wienberg822,823.jp2,Volume4/match00520.tif,/p15730coll18/image/823.jp2
"Entrance Facade Ocean House Santa Monica, California","The Ocean House was a short-lived hotel (1948 to 1955) at the site of the beach house of the same name formerly owned by actress Marion Davies. The entrance, seen here, faced the highway. On reverse: [in pen] This is a fabulous place where there was a dinner last Tuesday night. Used to be Marion Davies' home. Didn't have time to call Bob Stack until last Wed. He was just ready to leave for a week in San Diego. He has given up the summer stock because pictures are looking good and he is afraid to be away if contracts are offered.  He did say he hoped to stop in [?] within the next six months. Wishes you would write to him.",1949,Postcards; Hotels; Facades; Correspondence,Santa Monica (Calif.);,,,complete;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00656.tif,Image,,image/jp2,20761160 Bytes,3294,2100,RGB,677576537,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-06-04,2018-06-04,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/824,824,wienberg824,825.jp2,Volume4/match00656.tif,/p15730coll18/image/825.jp2
"Entrance Facade Ocean House Santa Monica, California","The Ocean House was a short-lived hotel (1948 to 1955) at the site of the beach house of the same name formerly owned by actress Marion Davies. The entrance, seen here, faced the highway. On reverse: [in pen] This is a fabulous place where there was a dinner last Tuesday night. Used to be Marion Davies' home. Didn't have time to call Bob Stack until last Wed. He was just ready to leave for a week in San Diego. He has given up the summer stock because pictures are looking good and he is afraid to be away if contracts are offered.  He did say he hoped to stop in [?] within the next six months. Wishes you would write to him.",1949,Postcards; Hotels; Facades; Correspondence,Santa Monica (Calif.);,,,complete;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00657.tif,Image,,image/jp2,20453384 Bytes,2072,3289,RGB,2531016613,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-06-04,2018-06-04,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/825,825,wienberg825,826.jp2,Volume4/match00657.tif,/p15730coll18/image/826.jp2
"Swell of the Pacific off Ocean Park, Cal.","View of various Santa Monica piers from sea. On reverse: [in pen] Hermosa Beach, Cal. Dear Sister, How are you? Read your letter last time, good to hear from you, was sorry to hear of Maggie[?] sickness hope she is better. We went to Ocean Park yesterday  to church, for there to Venice and Santa Monica. Thy are beautiful beach cities, we returned about forty minutes on the car to take us there from... Postmark: February 18, 1913.",1912,Postcards; Oceans; Piers & wharves; correspondence,Santa Monica (Calif.);,,,complete;,"Western Publishing & Novelty Co. (Los Angeles, California);",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00662.tif,Image,,image/jp2,20113460 Bytes,2062,3250,RGB,4215221143,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-08-16,2018-08-16,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/827,827,wienberg827,828.jp2,Volume4/match00662.tif,/p15730coll18/image/828.jp2
"Swell of the Pacific off Ocean Park, Cal.","View of various Santa Monica piers from sea. On reverse: [in pen] Hermosa Beach, Cal. Dear Sister, How are you? Read your letter last time, good to hear from you, was sorry to hear of Maggie[?] sickness hope she is better. We went to Ocean Park yesterday  to church, for there to Venice and Santa Monica. Thy are beautiful beach cities, we returned about forty minutes on the car to take us there from... Postmark: February 18, 1913.",1912,Postcards; Oceans; Piers & wharves; correspondence,Santa Monica (Calif.);,,,complete;,"Western Publishing & Novelty Co. (Los Angeles, California);",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00663.tif,Image,,image/jp2,20113460 Bytes,2062,3250,RGB,3833592830,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2018-08-16,2018-08-16,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/828,828,wienberg828,829.jp2,Volume4/match00663.tif,/p15730coll18/image/829.jp2
"Santa Monica, California","On reverse: [printed] Semi-aerial view of beautiful palm lined Palisade Park which provides a semi-tropical setting of palm trees, flowers, and lush green lawns for beautiful Santa Monica Beach in the background.",1955,Postcards; Coastlines;,Santa Monica (Calif.);,,,complete;,"Mitock & Sons (Sherman Oaks, California);",,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Color postcard, 3.5 x 5.5 inches;",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00749.tif,Image,,image/jp2,20427134 Bytes,2082,3269,RGB,1915905273,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2015-03-31,2015-03-31,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/830,830,wienberg830,831.jp2,Volume4/match00749.tif,/p15730coll18/image/831.jp2
