title,other title,creator,contributor,date,release date,subject,location,region,time period,description,abstract,table of contents,publisher,agency,standard number,rights,rights release,requirements for use,physical characteristics,collection,collection folder,type,language,format original,digital characteristics-a,series,digital collection,format,related items,title replaced by,title replaces,audience,hosted by,metadata creator,url-a,pres file name-m,pres local file path-m,full text,digital creation date-m,digital creator-m,capture tools-m,resolution-m,bit depth-m,security-m,checksum-m,local call number,revision-m,oclc number,date created,date modified,reference url,compound,cdmid,objectid,contentdm file name,full resolution,contentdm file path
Catawba County Library and bookmobile,,,,1946,,Public libraries--North Carolina; Bookmobiles--North Carolina;,"Catawba County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Catawba County Library in its second home, the Matthias Barringer house. The restored log house served as the library and the history museum from 1946 until its destruction by fire in February 1952. This bookmobile, the county's third, served from 1940 to 1952.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,7.5 x 9.5 inches,Catawba County Library,,Image,English,Photographs,4142.783 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Floyd, Alex",,tts_CataCoun_5.tif,\Preservation_content\tts\images_master\,,2008-08,"Floyd, Alex",,600 dpi,24,,,,,433608529,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/92,,92,libraryhistory92,93.jp2,Volume12\tts_CataCoun_5.tif,/p249901coll36/image/93.jp2
Staff of the Charlotte Public Library pose for a portrait photograph around 1928,,"Moon, C.C.",,1928,,Public libraries--North Carolina; Carnegie libraries; Public librarians; Women--North Carolina,"Charlotte, Mecklenburg County, North Carolina, United States",,(1900-1929) North Carolina's industrial revolution and World War One,"Thanks to a grant from Andrew Carnegie, Charlotte's first public library opened its doors in 1903. This is the only know shot of the staff of Charlotte Public Library. Taken in 1928, the names of the men and women who worked at the library are unknown.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Public Library of Charlotte & Mecklenburg County,,Image,English,Photographs,834.524 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Bumgarner, Shelia",,tts_CharMeckLibr_01.tif,\Preservation_content\tts\images_master\,,2008-08,"Bumgarner, Shelia",,600 dpi,24,,,,,433594393,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/93,,93,libraryhistory93,94.jp2,Volume12\tts_CharMeckLibr_01.tif,/p249901coll36/image/94.jp2
"Charlotte Public Library, Huntersville Branch",,"Moon, C.C.",,1931,,Public libraries--North Carolina; Children--North Carolina; Women--North Carolina,"Charlotte, Mecklenburg County, North Carolina, United States",,(1929-1945) Depression and World War Two,"In 1929, the Charlotte Public Library received $80,000 from Julius Rosenwald Branch to expand library services throughout the county. By 1931, five new branches opened, including the one seen here in Huntersville.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Public Library of Charlotte & Mecklenburg County,,Image,English,Photographs,1153.872 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Bumgarner, Shelia",,tts_CharMeckLibr_02.tif,\Preservation_content\tts\images_master\,,2008-08,"Bumgarner, Shelia",,600 dpi,24,,,,,433608543,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/94,,94,libraryhistory94,95.jp2,Volume12\tts_CharMeckLibr_02.tif,/p249901coll36/image/95.jp2
Morgan Street School Branch,,,,1930,,Public libraries--North Carolina; African Americans and libraries; African Americans--North Carolina; Children--North Carolina; Schools--North Carolina; Minorities--North Carolina,"Charlotte, Mecklenburg County, North Carolina, United States",,(1929-1945) Depression and World War Two,"Head Librarian, Anne Pierce worked out an agreement to make the city school libraries branches of the public library. The relationship lasted well into the 1930s and enabled the Charlotte Public Library to extend services to children throughout the county.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Public Library of Charlotte & Mecklenburg County,,Image,English,Photographs,820.4 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Bumgarner, Shelia",,tts_CharMeckLibr_03.tif,\Preservation_content\tts\images_master\,,2008-08,"Bumgarner, Shelia",,600 dpi,24,,,,,433608552,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/95,,95,libraryhistory95,96.jp2,,/p249901coll36/image/96.jp2
Public Library of Charlotte and Mecklenburg County. Bringing the books to the customers,,,,1955,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina; Women--North Carolina,"Charlotte, Mecklenburg County, North Carolina, United States",,(1954-1971) Civil Rights era,Margaret Adkins recommending a book to a young patron. The library's bookmobile service ran from 1937 to 1966.,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Public Library of Charlotte & Mecklenburg County,,Image,English,Photographs,1479.712 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Bumgarner, Shelia",,tts_CharMeckLibr_04.tif,\Preservation_content\tts\images_master\,,2008-08,"Bumgarner, Shelia",,600 dpi,24,,,,,433608801,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/96,,96,libraryhistory96,97.jp2,Volume12\tts_CharMeckLibr_04.tif,/p249901coll36/image/97.jp2
Charlotte Literary and Library Association,,,,1895,,Public libraries--North Carolina; Women--North Carolina,"Charlotte, Mecklenburg County, North Carolina, United States",,(1876-1900) Gilded Age,"The Charlotte Literary & Library Association was the precursor to the Charlotte Public Library. It began in 1891. Bessie Lacey Dewey served as 'hostess' until her death in 1900. By that the time, the association was in debt. The members donated the books to the city to be used by schoolchildren.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,5 x 8 inches,Public Library of Charlotte & Mecklenburg County,,Image,English,Photographs,842.368 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Bumgarner, Shelia",,tts_CharMeckLibr_05.tif,\Preservation_content\tts\images_master\,,2008-08,"Bumgarner, Shelia",,600 dpi,24,,,,,433608558,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/97,,97,libraryhistory97,98.jp2,Volume12\tts_CharMeckLibr_05.tif,/p249901coll36/image/98.jp2
Fayetteville Library. Library bank deposit register,,,,1932; 1933,,Public libraries--North Carolina; Public libraries--Finance,"Fayetteville, Cumberland County, North Carolina, United States",,(1929-1945) Depression and World War Two,"Register of deposits made in the library's bank account from February 2, 1932 - May 8, 1933.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3 x 4.5 inches,Cumberland County Public Library & Information Center,,Text,English,Financial statements,3941.882 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Hunter, Wanda",,tts_CumbCounPubl_1.tif,\Preservation_content\tts\images_master\,,2008-08,"Hunter, Wanda",,600 dpi,24,,,,,433605618,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/98,,98,libraryhistory98,99.jp2,Volume12\tts_CumbCounPubl_1.tif,/p249901coll36/image/99.jp2
Dedication ceremony of land presented by the Howard School Board of Trustees,,,,1953,,Public libraries--North Carolina; African Americans and libraries; African Americans--North Carolina; Women--North Carolina; Children--North Carolina; Schools--North Carolina; Minorities--North Carolina,"Fayetteville, Cumberland County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Community residents, local officials and other interested persons attend the dedication ceremony on a lot presented to the City of Fayetteville for a new public library for blacks.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,4 x 8.5 inches,Cumberland County Public Library & Information Center,,Image,English,Photographs,769.752 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Hunter, Wanda",,tts_CumbCounPubl_2.tif,\Preservation_content\tts\images_master\,,2008-08,"Hunter, Wanda",,600 dpi,24,,,,,433608572,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/99,,99,libraryhistory99,100.jp2,,/p249901coll36/image/100.jp2
James Walker Hood Branch Library's reading club,,,,1950; 1951; 1952; 1953; 1954; 1955,,Public libraries--North Carolina; African Americans and libraries; African Americans--North Carolina; Women--North Carolina; Children--North Carolina; Reading promotion--North Carolina; Minorities--North Carolina,"Fayetteville, Cumberland County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Julia Ferguson, librarian observes Etheling Simmons (volunteer) present a story using the flannel board to the James Walker Hood Library Reading Club. Circa 1950-1955.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Cumberland County Public Library & Information Center,,Image,English,Photographs,1471.732 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Hunter, Wanda",,tts_CumbCounPubl_3.tif,\Preservation_content\tts\images_master\,,2008-08,"Hunter, Wanda",,600 dpi,24,,,,,433605625,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/100,,100,libraryhistory100,101.jp2,,/p249901coll36/image/101.jp2
"Currituck Public Library bookmobile from the rear, with man looking at books",,,,,,Public libraries--North Carolina; Bookmobiles--North Carolina;,"Currituck County, North Carolina, United States",East Albemarle Regional Library,,"One of three photographs printed on the same sheet of photographic paper. Photographs loaned to Currituck County Library by a patron for use in project. Original page size was 8.5 x 11.; Written on back of page: ""ervin O'neal.""",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,,Currituck Public Library,,Image,English,Photographs,11721.378 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,One of three photographs printed on the same sheet of photographic paper.,,,All,State Library of North Carolina,"Allen, Christy",,tts_CurrPubl_001a.tif,\Preservation_content\tts\images_master\,,2008-09,"Allen, Christy",Epson Expression 10000XL,600 dpi,24,,,,,433605628,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/101,,101,libraryhistory101,102.jp2,Volume12\tts_CurrPubl_001a.tif,/p249901coll36/image/102.jp2
Currituck Public Library bookmobile with woman and two men,,,,,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina,"Currituck County, North Carolina, United States",East Albemarle Regional Library,,"One of three photographs printed on the same sheet of photographic paper. Photographs loaned to Currituck County Library by a patron for use in project. Original page size was 8.5 x 11.; Written on back of page: ""Ervin O'neal."" Ervin O'Neal is the person standing on the far left in the photograph. The other two people in the photograph are unknown.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,,Currituck Public Library,,Image,English,Photographs,11691.88 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,One of three photographs printed on the same sheet of photographic paper.,,,All,State Library of North Carolina,"Allen, Christy",,tts_CurrPubl_001b.tif,\Preservation_content\tts\images_master\,,2008-09,"Allen, Christy",Epson Expression 10000XL,600 dpi,24,,,,,433605631,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/102,,102,libraryhistory102,103.jp2,Volume12\tts_CurrPubl_001b.tif,/p249901coll36/image/103.jp2
Currituck Public Library bookmobile with two seated men,,,,,,Public libraries--North Carolina; Bookmobiles--North Carolina;,"Currituck County, North Carolina, United States",East Albemarle Regional Library,,"One of three photographs printed on the same sheet of photographic paper. Photographs loaned to Currituck County Library by a patron for use in project. Original page size was 8.5 x 11.; Written on back of page: ""Ervin O'neal."" Ervin O'Neal is the person sitting on the right in the photograph. The other person in the photograph is unknown.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,,Currituck Public Library,,Image,English,Photographs,11967.487 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,One of three photographs printed on the same sheet of photographic paper.,,,All,State Library of North Carolina,"Allen, Christy",,tts_CurrPubl_001c.tif,\Preservation_content\tts\images_master\,,2008-09,"Allen, Christy",Epson Expression 10000XL,600 dpi,24,,,,,433605632,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/103,,103,libraryhistory103,104.jp2,Volume12\tts_CurrPubl_001c.tif,/p249901coll36/image/104.jp2
Proctorville Library,,"Ecklar, Marie McRae.",,1945-03,,Public libraries--North Carolina;,"Proctorville, Robeson County, North Carolina, United States",,(1929-1945) Depression and World War Two,"The library structure was originally a hot dog stand operated by Harry Lewis. Lewis’s grandfather, W.R. Surles, owned the land and structure, which he provided for use as a library in the late 1930s. On account of the small size of the structure, only one person (or two if small children) could use the library at a time. Children would wait in line for their turn in the library. According to an article in the Dec. 23, 1939, issue of The State Magazine, the citizens of Proctorville started up the library with donations from the community, initially acquiring a collection of 400 books. The author contends that “Proctorville is the smallest town in the United States which possesses a full time public librarian, which it does with the aid of the P.W.A.” (P.W.A. may possibly stand for Public Works Administration or be a typo of W.P.A) The librarian’s name was evelyn Singletary Clyburn. The P.W.A. (or possibly WPA?) ceased to provide support circa 1941, and since that time the library has been maintained and operated by volunteers from the Proctorville Book Club. A more permanent brick structure replaced the former hot dog stand during the 1950s. This current library building is named the “W.R. Surles Memorial Library,” as Surles bequeathed money to build the structure. It's open on Thursday afternoons.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,,State Archives of North Carolina,,Image,English,Negatives (photographic),496.05 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Cumber, Kim",,tts_Archives_003.tif,\Preservation_content\tts\images_master\,,2008-09,"Cumber, Kim",,600 dpi,24,,,D.2008.4.079,,433608815,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/104,,104,libraryhistory104,105.jp2,Volume12\tts_Archives_003.tif,/p249901coll36/image/105.jp2
