title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Autographed Portrait of Frank B. Robinson","Sepia photograph of Robinson in a hat and suit. Also includes an autograph and note reading, &#39;Yours for Others, Frank B. Robinson.&#39;","","","1938","yes","","","single-page; photographs","","Frank B. Robinson; Portraits","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 4, Folder 27","MG101_b4_f27_008","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","337","demo_psychiana337","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/337","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/337.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana337.html"
"Business Card for John G. Foster, Niagara Representative of Psychiana","Business card reading &#39;Write &#39;Psychiana&#39;&#39; lists the name of Niagara Representative John G. Foster and physical address 5 Water Street, St. Catharine&#39;s.","","","1936-01-01","","40.713569","-74.023587","single-page; business cards","John G. Foster; Niagara; Spreading Psychiana","","University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - &#39;Miscellaneous Clippings&#39;","MG101_b6_miscellaneous_clippings_02","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","692","demo_psychiana692","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/692","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/692.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana692.html"
"Business Reply Card [01]","A postage-paid, business reply card addressed to Psychiana headquarters.","Psychiana, Inc.","Gentlemen","1941","yes","","","postcard; reply cards","Power; Spirit of God; Free; Information","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23","MG101_b7_f23_005","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","1242","demo_psychiana1242","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/1242","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/1242.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana1242.html"
"Coming to Portland","Alternative flyer advertising speeches by Robinson at the Psychiana National Convention in Portland, OR. Includes a portion of text describing the event, including speech, meet-and-greet, etc.","","","1934-11-29","","45.57872","-122.71349","single-page; flyers","Portland; God-Realm; God-Law","","University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 32","MG101_b7_f32_003","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","437","demo_psychiana437","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/437","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/437.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana437.html"
"Crucified Gods Galore","Single-page flyer advertising Robinson&#39;s latest book.","","","1933","yes","","","single-page; order forms","Costs; Jesus Christ; Crucified Gods; Robinson&#39;s Books","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 27","MG101_b7_f27_012","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","370","demo_psychiana370","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/370","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/370.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana370.html"
"Daily Procedure For Every &#39;Psychiana&#39; Student","Frank B. Robinson gives his students five procedures to do daily in addition to the exercises to do the lessons.","Robinson, Frank B.","Students","1935","yes","","","single-page; instructions","Students Exercises; Psychiana Affirmations","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23","MG101_b7_f23_042","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","248","demo_psychiana248","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/248","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/248.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana248.html"
"Death to the Axis","Single-page form notice asks that the reader send in for the two free booklets now. Frank B. Robinson tells how he was a failure before he talked with God and now he has all his needs met.","","","1942","yes","","","single-page; notices","Hitler; Mussolini; Hirohito; Axis; World War","","University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 31","MG101_b7_f31_003","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","412","demo_psychiana412","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/412","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/412.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana412.html"
"Delinquent Notice","Delinquent notice sent out to students. Mrs. Marjorie Hill sent out this notice to remind students to make their payments.","Hill, Marjorie","Student","1938","yes","","","single-page; notices","Delinquent; Accounts; Remittance; Lessons; Payments","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 24","MG101_b7_f24_008","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","261","demo_psychiana261","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/261","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/261.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana261.html"
"Dr. Frank B. Robinson Speaking to Packed House","Flyer with large photograph of Robinson giving a speech to a full auditorium. Text follows regarding Robinson &#39;usually&#39; filling the &#39;largest auditoriums whenever he speaks&#39; and his waxing popularity.","","","1934-05-01","","34.054709","-118.261773","single-page; flyers","Spokane; Auditorium","","University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 32","MG101_b7_f32_006","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","440","demo_psychiana440","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/440","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/440.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana440.html"
"Dr. Frank B. Robinson Speaking to Packed house in the TRINITY AUGITORIUM Los Angeles, California, January 27th 1935","A flyer announcing a Frank B. Robinson speaking engagement at Trinity Auditorium.","","","1935-01-27","","34.054709","-118.261773","multiple-page; flyers","Successful; Material Abundance; Spiritual Abundance Reason; Law; Los Angeles","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23","MG101_b7_f23_043","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","249","demo_psychiana249","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/249","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/249.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana249.html"
"Dr. Robinson&#39;s &#39;Realization&#39; Secret","Special offer details Robinson&#39;s early life, calling himself a &#39;FAILURE&#39;, the large growth of Psychiana, and offers students this secret to Robinson&#39;s success.","Psychiana, Inc.","","1933","yes","","","single-page; form letters","Failure; Success; Robinson&#39;s Life; Psychiana Growth","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 25","MG101_b7_f25_020","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","308","demo_psychiana308","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/308","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/308.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana308.html"
"Dr. Robinson&#39;s Latest and Most Sensational Book","Advertisement for Robinson&#39;s book &#39;What This War Really Means&#39;.  Includes order form.","","","1942","yes","","","single-page; flyers","Moscow, Idaho; World War; Costs; Robinson&#39;s Books","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 27","MG101_b7_f27_021","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","380","demo_psychiana380","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/380","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/380.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana380.html"
"Flyer with Instructions to Use God-Power Against Axis Power","Flyer includes illustrations of both Hitler and Mussolini with instructions to repeat the affirmation, &#39;THE SPIRIT OF GOD, WHICH IS THE SPIRIT OF TRUTH, JUSTICE, PEACE, AND POWER, WILL BRING YOUR SPEEDY DOWNFALL.&#39;&#39; Flyer asserts that the God-Power lies in each individual for their use.","Psychiana, Inc.","","1938","yes","","","single-page; flyers","","World War; Hitler; Mussolini; God-Power Psychiana Affirmations","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 4, Folder 27","MG101_b4_f27_001","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","285","demo_psychiana285","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/285","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/285.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana285.html"
"For Rent - A Cross","A flyer to all Americans advertizing Frank B. Robinson&#39;s newest book.","","","1942","yes","","","single-page; flyers","Robinson&#39;s Books; Moscow, Idaho","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 13","MG101_b7_f13_028","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","1033","demo_psychiana1033","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/1033","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/1033.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana1033.html"
